,account_id,alliance_id,timestamp,raw_message,filtered_message,CHILD_GROOMING,RELATIONSHIP_SEXUAL_CONTENT,hour_bucket,trigger
8285,a3568c0b7928cd5f6bfb29968bd41a17e1ea8f4bc50f6f0e8eb403dafc150da4,de648df5920ec36f8c4e9a8c8af655ddc1392fc01aa3a334c828fa17edf760a2,2023-03-01 01:51:45.158,"What’s pink, 6 inches long, and makes my girlfriend cry when I put It in her mouth? Her miscarriage","What’s pink, 6 inches long, and makes my girlfriend cry when I put It in her mouth? Her miscarriage",-1.0,5.0,2,1
8333,425b8bc17a34c35c39fc24459d067ea782743f746ad7edb935e925038716162f,ae16bb1f7c714d21fe2bffc974fdc783987d2d50414e9a5d6f64a0614642fcac,2023-03-01 23:09:29.889,Shut up cutie,Shut up cutie,-1.0,-1.0,24,1
10247,34fffec8c77f4a5e707293880020ef2be737bc8157c54ba0630eec0700159bfd,82835fda4436d3e213441cfc140a102183eaaa38c9118edc2b3eb63d1968df1b,2023-03-01 05:46:09.567,where dumeny @?,where dumeny @?,-1.0,-1.0,6,1
12091,d081cbce81b6f2d313c838d8702dd3ee2bc07bf9a6bf35b5e158399ce70a5ce8,1d04c6e619cd50ea965a9b271ea6239ef1912dcf512752073de6fd04d255c81d,2023-03-01 19:04:17.458,Check snap,Check snap,-1.0,-1.0,20,1
12182,b6044eb5baca75578389336514f3cac15a35b9fe606712c8ab74b1b4673ad668,80ae015f7d184b56e4954e798aaa4fe4bd631d5b3b7feb607eb637c0f782d5df,2023-03-01 21:13:55.754,My friend and her boyfriend were nooono,My friend and her ********* were nooono,-1.0,3.0,22,1
12238,c3c7a9edee01cae2ea4f2ac1005d5b08a8dc7ee4dac491732088f61191d3b9ae,52d1ff12dd5742d3c19d6a7d70e227538f4cfd3ebcb841e0c9f0a137234af4b5,2023-03-01 11:48:45.085,cutie mwah,cutie mwah,-1.0,-1.0,12,1
12435,26b8e7461c4c273d00323c6ac28d9dbec23a1a03d2b62000dc92c1faf7b1dc96,62840f64cbff2eaecdefcddf2d482c1db3ccf51c2d2ec927af468dcbcb27ad63,2023-03-01 05:04:02.166,It fucking sucks but I really need to get through my issues so I can actually be a good girlfriend,It fucking sucks but I really need to get through my issues so I can actually be a good girlfriend,-1.0,3.0,6,1
13984,bed1b6aa237c94ae23f90471312d7db307f0c8ee137ed3629c4c62a4e316143d,0110e263385f26dce6d6e14eced57b44a495a23eadf3a311a9b4c04614013951,2023-03-01 01:28:27.367,my mom is talking about getting snap,my mom is talking about getting snap,-1.0,-1.0,2,1
14310,af41c58790ec3f83137e0cda1fa0575d58ee33a5ba674b954d9cfca62f2a811e,7a55764dcd81b2e286f27d935dac2e57c870e3937422b9cc414b110a4867a611,2023-03-01 18:38:59.394,I want to bring my girlfriend here,I want to bring my ********** here,-1.0,3.0,19,1
14437,389f63bc3bdfe0cc488d11d3f99f7eca6e8406c003c6e38e785d7befd14a1d47,d4d809e6dc91963846eb6fc9ae8f933880bb6040ab9bec5b2b8c902d4c0689a3,2023-03-01 02:45:14.696,horny,horny,-1.0,5.0,3,1
15212,25909109dc5f64c92bc67dfe0badf8dfcee8c4f61c2dd29b7f1dcece3ecf5bbc,de1eb354ff8ee4e40d2643b13fe143a2751fec74721fe0aa8078930a5f8712e4,2023-03-01 21:49:10.358,boyfriend,*********,-1.0,3.0,22,1
15901,adbdee1f0a9fd75550b41b2f279eb4a6c1f34ddb88e2a4449a84cfc9ca54849f,0b87dc085088a87b892c1da8176e2b872a85dc00498291e5185007270529f81e,2023-03-01 23:06:16.770,media wea,media wea,-1.0,-1.0,24,1
18595,9f30ea6ce78d9f7acce98aab98f2df98f46f2a3417648eefb671ba48ea751979,eb10a18469110f2fd1db3e5c51b6ef4ee834938c7337d957425cf522d1dd17dc,2023-03-01 04:15:39.674,gf,gf,-1.0,3.0,5,1
18919,d0215e02c7be7ff60ace77e995ac3a57d4579dc338f8c4a51bee9a7d884cef09,0f442b87d4a40b30a22356d8eac173aa83480ef5a38b86cdfacca9ff44541ac8,2023-03-01 01:21:25.909,I agree Sir. It saddens me. I used to love playing! If I wasn’t the leader I’m not sure how much I’d be on. The dynamics of the clan changed too. I use to love the social aspect quite a bit.,I agree Sir. It saddens me. I used to love playing! If I wasn’t the leader I’m not sure how much I’d be on. The dynamics of the clan changed too. I use to love the social aspect quite a bit.,-1.0,2.0,2,1
19760,f5a0955afb0dfb66495b7fbe9ada92037fd19de5611a7ff14846e06e26adcc7e,8f6f902a80c2ae96797277475c84b2f9b413c1ecac90dae3ff4be9237f015cbe,2023-03-01 23:16:04.293,I just don’t have any use for snap,I just don’t have any use for snap,-1.0,-1.0,24,1
23151,c38749fb71d3c2300d20acca03929ec7d7f1334565f23f049e9dd407d460ad3f,ed738eba1d45db242db5c1c664e6fe3d09cbe47014813d34ed7c0a2ae049d2e2,2023-03-01 22:06:54.640,"She’s not my girlfriend yet tho, I just know that she likes me .","She’s not my girlfriend yet tho, I just know that she likes me .",-1.0,3.0,23,1
23218,152ef8bf96b76304850ad27f0e10ff5dcf2cb436844883da7bfc6b62b62e4b20,e94c01a23cf6ba1e47e7992aa862163a245d962c0ceb59690973b62efc8201dc,2023-03-01 13:47:45.943,my back is going to snap in half,my back is going to snap in half,-1.0,-1.0,14,1
24162,055f3eb7702b829c2dae44618935a2d85713c9e258a09e031d075e26ab85e84d,b8157279d998a95797e7d9ea0953b795a44038ad19eea61eb36781d35c9ccc52,2023-03-01 11:00:32.625,Come snap,Come snap,-1.0,-1.0,12,1
24510,41ab8375fae97c0cf46ec1c1d980cff8c50e196484a2f2b13ca7be6c79447451,8f6f902a80c2ae96797277475c84b2f9b413c1ecac90dae3ff4be9237f015cbe,2023-03-01 23:12:01.419,Snap,Snap,-1.0,-1.0,24,1
25305,aaa39f22a0dc247d7585e9357760735faadbcd88600bf58b83c4d85422765ec5,79a4d92519e9300ac84b0ccfecbd7dd7d6bd38dbb71b7491649e192d2186e42f,2023-03-01 21:12:02.256,I have such a love hate relationship with my current deck...,I have such a love hate relationship with my current deck...,-1.0,3.0,22,1
25964,06ff28a76868c41d444bea0ef3ec8a4bb08e38687250dd6853ea6822bab66262,eb10a18469110f2fd1db3e5c51b6ef4ee834938c7337d957425cf522d1dd17dc,2023-03-01 15:43:09.640,music you cutie ;3 add me,music you cutie ;3 add me,-1.0,-1.0,16,1
27261,51eafff3869f909b19dea6f9913362afcd0611279a5646c4dadaf52a073d31d4,fc2445dc0f0ae596376b4e0a0a64e3970ee0c1b9817bc0cf1a27590c72fe918d,2023-03-01 20:12:06.681,Can y’all accept my bf request 😃,Can y’all accept my bf request 😃,-1.0,3.0,21,1
28722,48ab40d0ac74b18daa6aecbbd4941ec8710b14bc444b2eded670b8000d98c069,2146819d17481996ef4784f6135f5f79e7df2ae12eaee13da3684fcb464fb401,2023-03-01 02:38:38.323,It’s too smashed from my ex boyfriend XD 😈,It’s too smashed from my ex boyfriend XD 😈,-1.0,3.0,3,1
28801,5b97bc0cb94c15b37159ac5e8edbd8ad20803f13709e6b08492827993e384889,f074f6b16207b426181e3f5e052b935bea85f15db7863b451d0a7a87f5664982,2023-03-01 15:29:53.207,Damn gf,Damn gf,-1.0,3.0,16,1
28842,7b6f4ddd4c01d2ff651bef411e46e4fba5a7ed9e4a71a48224cacc7f9f5e7102,818a7249103a6501c980b3a0aef189dfefed7ab20939c0be0707d7319b136291,2023-03-01 20:38:06.476,Kasra is so horny lmao,Kasra is so horny lmao,-1.0,5.0,21,1
29419,456b063fc34bda88e369635fb5f5bc2335a19065911c84c48e3b696e0aafb87c,d17f9666a218f89911b9b14b59cfffecd0e1673a687779c03cce650328ab6c15,2023-03-01 21:40:25.759,Oh snap I didn’t realize I got here 😂,Oh snap I didn’t realize I got here 😂,-1.0,-1.0,22,1
29573,29ebc820f3e6f244d85c11c6f868a6c7179b3cb86f72f95e95bcc9853f815768,a9506383ca858b861593b994acb4aae5b55b8d03e572979d1139fd74a86fdaf8,2023-03-01 13:25:28.399,da my girlfriend,da my girlfriend,-1.0,3.0,14,1
30654,8aeb09414e4ee4e96a1440971c118002522f979d0bbbf935b84c9ea595f55b59,0cb2b6c696b3c646face9ea4dca36dfa96daf1e8a4e3c76f1be049103bfabaac,2023-03-01 16:27:23.523,I made sure I give my self enough work to make sure I don’t have a social life in college so yeah,I made sure I give my self enough work to make sure I don’t have a social life in college so yeah,-1.0,-1.0,17,1
31400,f5a0955afb0dfb66495b7fbe9ada92037fd19de5611a7ff14846e06e26adcc7e,8f6f902a80c2ae96797277475c84b2f9b413c1ecac90dae3ff4be9237f015cbe,2023-03-01 23:34:38.615,"Okay I got it but I won’t add anyone personally, out of respect for my boyfriend","Okay I got it but I won’t add anyone personally, out of respect for my *********",-1.0,3.0,24,1
32209,80f76f02a6f10fffeb9ca53feb46c25d28d7706e927837efc24e1c121e742275,ad419d1d678993e05854237baa2ff937611383b20b885980277aba71ddfd49ba,2023-03-01 02:54:29.034,Just need the last four of your social buddy,Just need the last four of your social buddy,-1.0,-1.0,3,1
32981,796827a3babbadf28bb546b76d0f7b6f4f5c50c6a6e8f6e78407b0354f507bb0,28278da5af089d4d5347c806de5842c58007c9464d830e9a5ce897bc3d57c7ca,2023-03-01 02:21:17.665,Oh snap there ya go babe,Oh snap there ya go babe,-1.0,3.0,3,1
33358,4c3233d7f9b129a9a08beb16b1d9b1e6b40947e273a717346d56add7199c4e52,8e83feca6206c562c507f905360cf304a917c283ada1888857543bce311ee42a,2023-03-01 20:04:37.077,I gave you a compliment as well I’m sure you love cupcakes and being called sweetheart so stfu and live your life,I gave you a compliment as well I’m sure you love cupcakes and being called sweetheart so stfu and live your life,-1.0,2.0,21,1
33694,785ca0e735c433fb7af6463da39a6767e159e790b719622bc4b84137a3e64e93,fdb0e9dd9f67fa9f459345a1d4c129d2cf3d394f3e73afb3966544cb1f4389a5,2023-03-01 13:49:45.103,Oh snap I have been surpassed,Oh snap I have been surpassed,-1.0,-1.0,14,1
33768,af41c58790ec3f83137e0cda1fa0575d58ee33a5ba674b954d9cfca62f2a811e,7a55764dcd81b2e286f27d935dac2e57c870e3937422b9cc414b110a4867a611,2023-03-01 18:42:18.247,Girlfriend,**********,-1.0,3.0,19,1
34210,332a3f4bf0291cfd49f3309962c1d21c0d714246b92ec719aaac7eb80fee0dc5,588b36023aab78ac27cbac75ac3b5c4b785bce9c19c623a7960c82053eb7dbb7,2023-03-01 15:30:02.376,Gf,**,-1.0,3.0,16,1
34429,c21263457dd11b748e132b6ffffddad374f97581e6ca5bbe5c467527df77a921,f68e490d9ea94f4cf89548b0a682a0ad95dc8c506a2469f923844f381c4428f8,2023-03-01 20:51:54.647,oh snap,oh snap,-1.0,-1.0,21,1
35674,b4e99bc50ffe0f5d064a48eb93a49d1959da4985d43ee7cd08fba400fc88e1fa,91e892280093e2c5669f8e59836e87a2ca1b6ee32545119172e18e84da313484,2023-03-01 18:54:14.299,I love being thoughtful of social media usage,I love being thoughtful of social media usage,-1.0,2.0,19,1
35844,9cbdc8a848034af8461d40f1ec25d4f1fc41a35149e288658fc05b9542547741,4990097907378f2c85507b4f6d8c266c77dd431f981b4953e4b6488f7cf027cb,2023-03-01 04:42:34.430,gf,gf,-1.0,3.0,5,1
38322,55d04fb9fcd3d379651f275192b0dd8ca57aca8abf4c45a84f8dd7bf52d3c254,29ea85e570ff9c46458182bf924de8b8dc0a51829ed5ab9586bbb4c1b0cd1c3c,2023-03-01 17:19:24.191,I can't use social media,I can't use social media,-1.0,-1.0,18,1
39880,97fa510b9db7f60714b7f22cb6e8b63d06ebb8e786a2c18c6000b5e8cfca7b63,9d980ab8615b23fd37a38a65b6036004f449f77842c1431c24b324497285502e,2023-03-01 20:19:01.052,I will snap your neck and crush your skull to mist with a large granite rock and then disintegrate your bones with sulphuric acid,I will snap your neck and crush your skull to mist with a large granite rock and then disintegrate your bones with sulphuric acid,-1.0,-1.0,21,1
41709,561d2d200b9e923b15c09c8c81af47092f17a40573693f905f948e9411187439,58035665707354b56631b9cbb73f9b88ff6c371713782312f70f042854aafb4a,2023-03-01 12:47:17.087,n galawin kita nd gf,n galawin kita nd gf,-1.0,3.0,13,1
43955,066b0c39b0d4faf8fa78ff9cfe291e39d314f614983ce95f340ce022223aac81,40c3b750f63c5c87db4653f17d3e2f6b10636222f7d196ebd71a4393ea4939cd,2023-03-01 19:48:58.608,it's really hard get gf in our country,it's really hard get gf in our country,-1.0,3.0,20,1
44678,ddec0360c90bf7216cc8cb27e08b74da9570ad3e4734bed6a5b463457afd2e74,6493f7e2d84e72b4121c078fe72b3b6e8aeb79916ec08fa3477aa6a3b2957680,2023-03-01 09:09:26.502,And without social life,And without social life,-1.0,-1.0,10,1
44900,cb3594670c060ee9c1b362a1c73b8b018d2dd43da0b8630b4b115303190ebeba,4a6d84f3905224f4f8ccc97186baa1a49599f2f75ad5650cfd890f1e9454369b,2023-03-01 18:39:18.107,Lol gf,Lol gf,-1.0,3.0,19,1
45028,d2867482f73e1b4fbc1d7aad944d61121684018840d64356ffa28646ec90dedc,53dabfc54090b301e3f67dddea088ce23be0461b006b3ce2ac3d9634024f6175,2023-03-01 10:24:19.074,you bunch of cutie patooties,you bunch of cutie patooties,-1.0,-1.0,11,1
45602,3e8590ba36daf9c55a65e7589c7b898afc191762c136b1b6829914b31709c640,1da6946fdf5874040b6af9b8fbabb5c2e98f91a144f7bed3f987dc42d1267be2,2023-03-01 20:11:23.185,Staxx if u promote me to co I’ll let u give my girlfriend one hug,Staxx if u promote me to co I’ll let u give my girlfriend one hug,-1.0,3.0,21,1
46467,0b8547c4c12091c6ce890ef68c1dc1ad698c775d6ae7ec30a9bbf9a198e63b40,aa9ffb819afb1aabe6b74e9e02aebb0daf8e0379bae72834f1bb73cd404cc801,2023-03-01 13:45:38.588,I dont wanna lose my bf,I dont wanna lose my bf,-1.0,3.0,14,1
47420,692c117536e1b6fc4eb8f04d6e13ca7efc57a97030d070ba13e5d5b34b6d4c63,15a669575eb062b9bbd69fc7b41a30cfef3d66217a594ddd5b688e0b8e1a3465,2023-03-01 20:51:44.805,"If anyone was watching that battle, my gf was playing for me :/","If anyone was watching that battle, my gf was playing for me :/",-1.0,3.0,21,1
48242,2c2a73e82bcbb83e77edb43fa064188eac86b2b3765912b242b7646f969d85fd,40c3b750f63c5c87db4653f17d3e2f6b10636222f7d196ebd71a4393ea4939cd,2023-03-01 20:04:35.120,Also same height as my gf lmfao,Also same height as my gf lmfao,-1.0,3.0,21,1
49328,26b8e7461c4c273d00323c6ac28d9dbec23a1a03d2b62000dc92c1faf7b1dc96,62840f64cbff2eaecdefcddf2d482c1db3ccf51c2d2ec927af468dcbcb27ad63,2023-03-01 06:06:57.390,We aren’t ready for this relationship,We aren’t ready for this relationship,-1.0,3.0,7,1
49547,0aa9963a430bc0f942bf1d97083b534b66e74806ac3c038bf4017d784047e0b6,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 07:38:50.072,I remember my gf in highschool used to play this,I remember my gf in highschool used to play this,-1.0,3.0,8,1
50548,3e3a2c004d9c5b2a7994f82e3302693281413e21be87ca34d4334d70081044f6,967d9272dc75ff5ab098abd85372384876f8236f8aa6b85d0b3268c33c40ee48,2023-03-01 16:53:00.025,you like 14 and acting you got your first girlfriend,you like 14 and acting you got your first girlfriend,-1.0,3.0,17,1
50557,b48b22ef0c70e3c36a4ebecbba10a6c40a7c5446e1f36d690029a1eb682d8bd5,f343ed800b0c3ade36ed8fdb12a6db2624ef1a22ad4a9ca312fc524393aa4bd0,2023-03-01 13:27:01.643,hi tushar hi cutie,hi tushar hi cutie,-1.0,-1.0,14,1
50711,e91c9ecb641412b3caa70b760f118c8e20a8a98549a57fa2fe88cd61bbecd7ae,28c36cbb0ae54ff334ceb2028d738c49b3bc588ce01afb4b21f482f2e5083f6a,2023-03-01 16:25:46.071,ya gf,ya gf,-1.0,3.0,17,1
50770,ba5462697a41f3e805b20d26f0fb1d9788cfe9b87c0a2e13a299088c3090f06d,498382d5bd0201a555615de3e2a03cd61ecd20dfa5f54395653bb3733894fda8,2023-03-01 00:36:58.762,The media brainwashed them so badly,The media brainwashed them so badly,-1.0,-1.0,1,1
51423,eab70b23bf921765661abb4a1aa582113c070a2986cb80da156df0c7f01c5ded,e910a2301069eb12d96f0f4a4b80de025f5540a8b8547152f8b57cb3f2182bcd,2023-03-01 11:05:56.839,I love you my bf,I love you my bf,-1.0,3.0,12,1
51810,1f572108868ed7fc95031ba45a851319ffb83a7285ca00ae2b52219706f65812,e10e6e5e8b076d327d7f3f394d7230f7a334bfe0e8705cfdac2e315cddf30a72,2023-03-01 07:56:23.449,at least i have social skills,at least i have social skills,-1.0,-1.0,8,1
52471,3a5c9d80be696ac98eca4baf8ef2b9f8a498a550562f77ff0d26da3cb386dabe,62840f64cbff2eaecdefcddf2d482c1db3ccf51c2d2ec927af468dcbcb27ad63,2023-03-01 04:58:50.227,We’re in a relationship i feel like you should want another guys body,We’re in a relationship i feel like you should want another guys body,-1.0,3.0,5,1
52928,4f0d5447c227895a7b8284db0bff530376612061e3bdc772d317594a431535fd,8159bb539d9519d9603e807f13247b3b5ca4a65bbd4860f1490aa2e09f769167,2023-03-01 16:06:59.766,gf,gf,-1.0,3.0,17,1
53381,5a1abf6bc85f69a5d9564b9fa182d1b81ba17e80cd48032abf266a8b0f388829,9a4d2add549081b1de2e1d1c4f13e8f2005382c4f58ea5c570a112cd520ccf27,2023-03-01 14:06:35.750,I need your snap to add to the group,I need your snap to add to the group,-1.0,-1.0,15,1
53396,4561c02d5ced25ab3c3f6fd89b95c95dca69b7c0dd2903f031aa3540ccd410c8,91ff3f1090de8020bf0e2762580fc635945615eac4e137814c118ff011f3d434,2023-03-01 02:58:43.786,your bf,your bf,-1.0,3.0,3,1
53821,af80f269c0f7b2dffcb619a827ac758b82ba1af3a09d08a3daebff2b0f68ba9e,6966d25ef61bd6ddf3fa08f7b9dfeca102e720f5c6ca6c0e74d44285cff98d2e,2023-03-01 00:30:16.423,Social studies used to be during school,Social studies used to be during school,-1.0,-1.0,1,1
54122,a40f1b34af37a1bfe01ace02a56dab2609fc7ecb5d9ad714c4f98bcdca1efd3d,37ebbd2c88800d031ebdfd3493d6a71474161a0f531a29c63d4566625379003f,2023-03-01 18:24:23.889,I told my gf,I told my gf,-1.0,3.0,19,1
57040,c2110e17f133e01ce5b70e2fa1c5b846019ea36649897babf67dd69fc538d880,b6cfffaf068b1a0bfb75f7b5e5237607a8022ea86be5b48770e896aca05f0d6b,2023-03-01 02:14:37.209,Brainwashed by the media,Brainwashed by the media,-1.0,-1.0,3,1
58106,b4a34cac9ce49591f486c5ec34cda853f1699cea43f871b3820dd3b57633c16c,8f8500d936b6a0216bb0019e2e33b1d4367280ac8450324b44bc8c9091a1c36c,2023-03-01 17:17:38.118,and u went for gf,and u went for gf,-1.0,3.0,18,1
58723,8ebb3a962d46c04f2dbc05cfe8e3af8ab0f4c53191ca431476b51f666ba8bbc0,badb594a4b0508db3b5058ee2dca10381bcd9015817e1711e1a0452f72362cec,2023-03-01 16:50:56.951,Get a gf,Get a **,-1.0,3.0,17,1
62347,5b418223d79586623a50d5b7238a0433738d16ed2eb4d51350b4d940321ff79a,d04c39b888ce29759792542c8372bbb02be9095ed5491d7d33767db6d56f588a,2023-03-01 15:40:56.466,her bf joined,her bf joined,-1.0,3.0,16,1
62890,531b15dd21599f9f81f2de3091d01ecaa30e73a6bde169111ddac0d3c2a060c2,59f17eef441340a902e8ab85c6d57f18527416f337d5b474da7c53e98d8bc844,2023-03-01 19:33:12.950,Gf again,Gf again,-1.0,3.0,20,1
63242,867baf493abab1e39b74b341d1c1115bffe32a13f474fcd274d143677edf8fa2,05300e022ed37f4b0658442b4f1a7e49ccd65470a6e31c4ae964c87bf9698448,2023-03-01 17:44:06.403,I’m horny,I’m horny,-1.0,5.0,18,1
63454,76e80f5f08ecef43b7b89c3feb2d197ef25a9d3e5a2c9a9b812ec63b789a40b8,b767f69149c40f33915831a87948fd06bfd91fbf57fd571df9cb4d2dacad19ac,2023-03-01 14:30:03.558,"I will say hinge does work, my homie put me onto it a couple days ago & im gonna kick it with some cutie next weekend","I will say hinge does work, my homie put me onto it a couple days ago & im gonna kick it with some cutie next weekend",-1.0,-1.0,15,1
64561,4fe87652b6cdeba5d0b852db996e5c06190408b7fd6f19b1e97c4c4a23e51fbd,588b36023aab78ac27cbac75ac3b5c4b785bce9c19c623a7960c82053eb7dbb7,2023-03-01 15:29:28.202,girlfriend,**********,-1.0,3.0,16,1
64586,46696e24e9b69214decb3c6389685ec4757cd3755bc3f7f57b90ef8dd3c4d17a,4148f0a1b3a56e67bc8495556346ea977559cbfbc9e4cec11a8f0cc66fe1e5c1,2023-03-01 11:25:49.649,sparky emotes are horny,sparky emotes are horny,-1.0,5.0,12,1
64631,3c3d3ffc0a125ca8f5137f9524ed7c61b7ca25214bdfc57ce36f6c1ae55d1376,bb769ff63d7810de56f79a890ae4276a7bc658de625cf32e74715a8d554fa262,2023-03-01 21:46:45.007,They remind me of my girlfriend,They remind me of my girlfriend,-1.0,3.0,22,1
65383,d23899c72d8ac51664a65895f3fc78b43dde9788672b99662115decdb9489df7,6966d25ef61bd6ddf3fa08f7b9dfeca102e720f5c6ca6c0e74d44285cff98d2e,2023-03-01 00:11:19.088,social studies,social studies,-1.0,-1.0,1,1
68955,ef6d3df3717891d0c03840d9eeb6a260ee67990b8534d1859fe8718eb1223e59,d450d2b576fc31cc407a06dadc4c166683d86009b5bd5d44be178c274e1e096c,2023-03-01 21:57:01.814,"Social workers, clinical psychologist, doctors","Social workers, clinical psychologist, doctors",-1.0,-1.0,22,1
68962,6c00f988ef9ec9a3fddee6376b739384c599605e273064e8f83ff376d2faec82,6209f5484ab27ae7f8e33ace485aa8d8592183b8e0459cd9eacb96b89e4a9451,2023-03-01 15:28:45.498,"Lol I just joined, cuz I’m a bf","Lol I just joined, cuz I’m a bf",-1.0,3.0,16,1
71470,0e38df97bdc7187a5c66873a65f44c2d6c6562976db98bcd6856bd4df5d9f8f3,6f083e8432eab1c091d4d083e0acc2942947cdb563974018ec69e565b6e259f9,2023-03-01 07:09:56.276,need a bf,need a **,-1.0,3.0,8,1
72484,1f5a3b0230e6f00c180316dd2d9cedcc19fdad9adc318ae8299775e4418f2dd1,2a67b202a11467d76e3c660b7acffd29bb2961ded8b86dba51388b13e1255c31,2023-03-01 21:32:48.488,milky do you hurt your bf with that big dick of yours,milky do you hurt your bf with that *** **** of yours,-1.0,6.0,22,1
73184,cc61fa85c4698d2b85b3f42ea4ac9ec6c0583da6c1e1e8e5591659f7f6dcd947,4935501c2d6b7a5f873cb0b303d01e8d193807d93d085bd9c97fede8cb8cc844,2023-03-01 23:47:42.770,Whenever me and my gf make cookies we get edible cookie dough so we can eat some while we make it,Whenever me and my gf make cookies we get edible cookie dough so we can eat some while we make it,-1.0,3.0,24,1
73472,de06c0bd1db8a948fb0131dd06ce151948cbb990908d4c9af8e5b8aa6437cc1c,b1a139381efe3dbf7a874f016be34b0be9c3c6426177932ec5e3ec8b3ed4f425,2023-03-01 04:34:11.120,On snap so I can add him though there,On snap so I can add him though there,-1.0,-1.0,5,1
73973,3f4a87ae6675ab46219a896012e3336f536bfbf4cafe7e9713a45e90ba425f1f,eab58361bddfb8817e04d07c95dea665fd254ae2dd4d7dc3d23d3be12be6811e,2023-03-01 22:29:24.008,Awe snap,Awe snap,-1.0,-1.0,23,1
74905,83d6ec222d6bd5f342e66746aa9709401599d93aa5802c122b4e3b38935e26f5,ef8d244937b95c1511d530d64805ea2b1842ead5db9e95a814a56f63e8a58179,2023-03-01 07:02:30.270,thank you for giving me a shot for letting be your bf and i’m sorry for letting you down so much,thank you for giving me a shot for letting be your bf and i’m sorry for letting you down so much,-1.0,3.0,8,1
74908,3703dab1191e81f4cd3297d96e6b2f5eeb7c53c5adb305c043a07c00d7875450,a793a770e5185180b415357c0c206a7fc7eb1aaae592ff7c58a6efcbc1c8bfbc,2023-03-01 06:01:28.460,pa ma media,pa ma media,-1.0,-1.0,7,1
75433,30c980d6834598e3a16aa2bd26f03039448221372dfab23239e4104e3394a344,86f29b8335705e7883939f7c1cf6cdb890eceee6da65b1ec18d2c924779d7915,2023-03-01 18:52:06.405,u have a boyfriend,u have a *********,-1.0,3.0,19,1
79725,ff5df8022b3b69ed0bdd4ae9e982f211d2644c93770dcfb19b496153607846df,667a2c6c403e4c53b61ebef4df0000f416f8d9bb9423f37ce18c83b4d7951979,2023-03-01 07:23:01.166,and tell ur bf ur taking a break,and tell ur bf ur taking a break,-1.0,3.0,8,1
